starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:45 2024	1717147245	0	138	138	137
Fri May 31 14:50:42 2024	1717147242	0	138	138	137
Fri May 31 14:50:47 2024	1717147247	0	138	138	137
Fri May 31 14:50:41 2024	1717147241	0	138	138	138
Fri May 31 14:50:42 2024	1717147242	0	139	139	138
Fri May 31 14:50:43 2024	1717147243	0	139	139	139
Fri May 31 14:50:44 2024	1717147244	0	139	140	139
Fri May 31 14:50:39 2024	1717147239	0	140	140	82
Fri May 31 14:50:42 2024	1717147242	0	140	140	140
Fri May 31 14:50:41 2024	1717147241	0	140	140	140
Fri May 31 14:50:41 2024	1717147241	0	141	141	140
Fri May 31 14:50:43 2024	1717147243	0	142	142	141
Fri May 31 14:50:41 2024	1717147241	0	142	142	141
Fri May 31 14:50:41 2024	1717147241	0	142	142	142
Fri May 31 14:50:41 2024	1717147241	0	142	142	142
Fri May 31 14:50:45 2024	1717147245	0	143	143	142
Fri May 31 14:50:44 2024	1717147244	0	143	143	143
Fri May 31 14:50:41 2024	1717147241	0	144	144	143
Fri May 31 14:50:45 2024	1717147245	0	144	144	144
Fri May 31 14:50:40 2024	1717147240	0	145	145	121
Fri May 31 14:50:46 2024	1717147246	1	145	146	106
Fri May 31 14:50:41 2024	1717147241	0	146	146	146
Fri May 31 14:50:41 2024	1717147241	0	147	147	147
Fri May 31 14:50:42 2024	1717147242	0	147	147	115
Fri May 31 14:50:39 2024	1717147239	0	148	148	147
Fri May 31 14:50:44 2024	1717147244	0	149	149	148
Fri May 31 14:50:43 2024	1717147243	0	149	149	149
Fri May 31 14:50:44 2024	1717147244	0	149	149	149
Fri May 31 14:50:40 2024	1717147240	0	149	149	149
Fri May 31 14:50:41 2024	1717147241	0	149	150	149
Fri May 31 14:50:42 2024	1717147242	0	150	150	149
Fri May 31 14:50:45 2024	1717147245	0	150	150	149
Fri May 31 14:50:41 2024	1717147241	0	150	150	149
Fri May 31 14:50:41 2024	1717147241	0	151	151	150
Fri May 31 14:50:41 2024	1717147241	0	151	151	151
Fri May 31 14:50:40 2024	1717147240	0	152	152	151
Fri May 31 14:50:41 2024	1717147241	0	152	152	151
Fri May 31 14:50:44 2024	1717147244	0	152	152	152
Fri May 31 14:50:46 2024	1717147246	0	152	152	152
Fri May 31 14:50:46 2024	1717147246	0	154	154	153
Fri May 31 14:50:40 2024	1717147240	0	154	154	154
Fri May 31 14:50:45 2024	1717147245	0	154	154	154
Fri May 31 14:50:41 2024	1717147241	0	155	155	116
Fri May 31 14:50:43 2024	1717147243	0	155	155	155
Fri May 31 14:50:41 2024	1717147241	0	155	156	113
Fri May 31 14:50:46 2024	1717147246	0	155	156	155
Fri May 31 14:50:44 2024	1717147244	0	156	156	156
Fri May 31 14:50:45 2024	1717147245	0	156	156	155
Fri May 31 14:50:41 2024	1717147241	0	156	156	156
Fri May 31 14:50:47 2024	1717147247	0	157	157	157
Fri May 31 14:50:42 2024	1717147242	0	157	157	157
Fri May 31 14:50:44 2024	1717147244	0	157	157	157
Fri May 31 14:50:45 2024	1717147245	0	157	157	157
