starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:41 2024	1717147241	0	891	892	891
Fri May 31 14:50:41 2024	1717147241	0	892	892	891
Fri May 31 14:50:44 2024	1717147244	0	892	892	891
Fri May 31 14:50:41 2024	1717147241	0	894	894	894
Fri May 31 14:50:43 2024	1717147243	0	895	895	868
Fri May 31 14:50:44 2024	1717147244	0	898	898	898
Fri May 31 14:50:41 2024	1717147241	0	900	900	899
Fri May 31 14:50:41 2024	1717147241	0	900	900	869
Fri May 31 14:50:43 2024	1717147243	0	904	904	903
Fri May 31 14:50:44 2024	1717147244	0	915	915	880
Fri May 31 14:50:44 2024	1717147244	0	916	916	915
Fri May 31 14:50:45 2024	1717147245	0	916	916	916
Fri May 31 14:50:44 2024	1717147244	0	922	922	859
Fri May 31 14:50:42 2024	1717147242	0	923	923	923
Fri May 31 14:50:40 2024	1717147240	0	926	926	926
Fri May 31 14:50:43 2024	1717147243	0	931	931	931
Fri May 31 14:50:39 2024	1717147239	0	931	931	591
Fri May 31 14:50:44 2024	1717147244	0	933	933	933
Fri May 31 14:50:39 2024	1717147239	1	933	934	932
Fri May 31 14:50:45 2024	1717147245	0	935	935	901
Fri May 31 14:50:43 2024	1717147243	0	937	937	937
Fri May 31 14:50:42 2024	1717147242	0	941	941	940
Fri May 31 14:50:42 2024	1717147242	0	942	942	595
Fri May 31 14:50:46 2024	1717147246	0	947	947	914
Fri May 31 14:50:43 2024	1717147243	0	949	949	948
Fri May 31 14:50:41 2024	1717147241	0	949	949	949
Fri May 31 14:50:43 2024	1717147243	0	953	953	952
Fri May 31 14:50:44 2024	1717147244	0	954	954	954
Fri May 31 14:50:44 2024	1717147244	0	955	955	955
Fri May 31 14:50:39 2024	1717147239	0	957	957	957
Fri May 31 14:50:44 2024	1717147244	0	959	959	958
Fri May 31 14:50:43 2024	1717147243	0	965	965	964
Fri May 31 14:50:44 2024	1717147244	0	967	967	966
Fri May 31 14:50:43 2024	1717147243	0	969	969	969
Fri May 31 14:50:46 2024	1717147246	0	970	970	931
Fri May 31 14:50:46 2024	1717147246	0	974	974	973
Fri May 31 14:50:43 2024	1717147243	0	973	974	973
Fri May 31 14:50:40 2024	1717147240	0	976	976	976
Fri May 31 14:50:44 2024	1717147244	0	977	977	976
Fri May 31 14:50:40 2024	1717147240	0	977	977	976
Fri May 31 14:50:43 2024	1717147243	0	979	979	978
Fri May 31 14:50:39 2024	1717147239	1	980	981	979
Fri May 31 14:50:40 2024	1717147240	0	982	982	982
Fri May 31 14:50:42 2024	1717147242	0	987	987	986
Fri May 31 14:50:44 2024	1717147244	0	990	990	989
