starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:48:50 2024	1717147130	0	504	504	463
Fri May 31 14:48:46 2024	1717147126	0	505	505	188
Fri May 31 14:48:45 2024	1717147125	0	506	506	504
Fri May 31 14:48:51 2024	1717147131	0	506	506	506
Fri May 31 14:48:45 2024	1717147125	0	506	506	505
Fri May 31 14:48:49 2024	1717147129	0	506	507	506
Fri May 31 14:48:47 2024	1717147127	0	507	507	507
Fri May 31 14:48:51 2024	1717147131	0	507	507	506
Fri May 31 14:48:50 2024	1717147130	0	507	507	507
Fri May 31 14:48:50 2024	1717147130	0	507	507	507
Fri May 31 14:48:51 2024	1717147131	0	507	507	507
Fri May 31 14:48:49 2024	1717147129	0	508	508	508
Fri May 31 14:48:51 2024	1717147131	0	509	509	508
Fri May 31 14:48:45 2024	1717147125	0	509	509	508
Fri May 31 14:48:49 2024	1717147129	0	509	509	508
Fri May 31 14:48:48 2024	1717147128	0	509	509	509
Fri May 31 14:48:50 2024	1717147130	0	510	510	510
Fri May 31 14:48:46 2024	1717147126	0	511	511	195
Fri May 31 14:48:52 2024	1717147132	0	511	511	511
Fri May 31 14:48:49 2024	1717147129	0	512	512	511
Fri May 31 14:48:51 2024	1717147131	0	515	515	514
Fri May 31 14:48:50 2024	1717147130	0	515	515	514
Fri May 31 14:48:50 2024	1717147130	0	515	515	466
Fri May 31 14:48:47 2024	1717147127	0	515	516	515
Fri May 31 14:48:51 2024	1717147131	0	517	517	516
Fri May 31 14:48:45 2024	1717147125	0	517	517	517
Fri May 31 14:48:48 2024	1717147128	0	517	517	516
Fri May 31 14:48:45 2024	1717147125	0	517	517	501
Fri May 31 14:48:45 2024	1717147125	0	517	517	517
Fri May 31 14:48:45 2024	1717147125	0	518	518	518
Fri May 31 14:48:45 2024	1717147125	0	518	518	517
Fri May 31 14:48:46 2024	1717147126	0	518	518	518
Fri May 31 14:48:51 2024	1717147131	0	520	520	520
Fri May 31 14:48:46 2024	1717147126	0	520	520	520
Fri May 31 14:48:51 2024	1717147131	0	521	521	520
Fri May 31 14:48:45 2024	1717147125	0	521	521	521
Fri May 31 14:48:45 2024	1717147125	0	521	521	521
Fri May 31 14:48:50 2024	1717147130	0	521	521	521
Fri May 31 14:48:51 2024	1717147131	0	521	521	460
Fri May 31 14:48:45 2024	1717147125	0	521	521	521
Fri May 31 14:48:47 2024	1717147127	0	522	522	497
Fri May 31 14:48:51 2024	1717147131	0	522	522	522
Fri May 31 14:48:51 2024	1717147131	0	522	522	521
Fri May 31 14:48:51 2024	1717147131	0	522	522	513
Fri May 31 14:48:51 2024	1717147131	0	522	522	522
Fri May 31 14:48:51 2024	1717147131	0	522	522	522
Fri May 31 14:48:50 2024	1717147130	0	523	523	522
Fri May 31 14:48:51 2024	1717147131	0	523	523	522
Fri May 31 14:48:49 2024	1717147129	0	523	523	523
